#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
A_ldc_q1_n20180720.G141.HST_WFC3_G141.Tran,0.4952106588078817,(fixed),(fixed),$q_{1;\rm n20180720.G141.HST.WFC3.G141.Tran}$,
A_ldc_q2_n20180720.G141.HST_WFC3_G141.Tran,0.5029811890267953,(fixed),(fixed),$q_{2;\rm n20180720.G141.HST.WFC3.G141.Tran}$,
A_ldc_q1_n20190613.G141.HST_WFC3_G141.Tran,0.4952106588078817,(fixed),(fixed),$q_{1;\rm n20190613.G141.HST.WFC3.G141.Tran}$,
A_ldc_q2_n20190613.G141.HST_WFC3_G141.Tran,0.5029811890267953,(fixed),(fixed),$q_{2;\rm n20190613.G141.HST.WFC3.G141.Tran}$,
A_ldc_q1_n20190614.G141.HST_WFC3_G141.Tran,0.4952106588078817,(fixed),(fixed),$q_{1;\rm n20190614.G141.HST.WFC3.G141.Tran}$,
A_ldc_q2_n20190614.G141.HST_WFC3_G141.Tran,0.5029811890267953,(fixed),(fixed),$q_{2;\rm n20190614.G141.HST.WFC3.G141.Tran}$,
A_ldc_q1_n20190812.G141.HST_WFC3_G141.Tran,0.4952106588078817,(fixed),(fixed),$q_{1;\rm n20190812.G141.HST.WFC3.G141.Tran}$,
A_ldc_q2_n20190812.G141.HST_WFC3_G141.Tran,0.5029811890267953,(fixed),(fixed),$q_{2;\rm n20190812.G141.HST.WFC3.G141.Tran}$,
A_ldc_q1_n20200706.G141.HST_WFC3_G141.Tran,0.4952106588078817,(fixed),(fixed),$q_{1;\rm n20200706.G141.HST.WFC3.G141.Tran}$,
A_ldc_q2_n20200706.G141.HST_WFC3_G141.Tran,0.5029811890267953,(fixed),(fixed),$q_{2;\rm n20200706.G141.HST.WFC3.G141.Tran}$,
A_ldc_q1_n20190614.V.HST.Tran,0.8799482097821856,0.1642030302908376,0.0899500874776733,$q_{1;\rm n20190614.V.HST.Tran}$,
A_ldc_q2_n20190614.V.HST.Tran,0.028177563469459314,0.02113659436765245,0.04715144364934842,$q_{2;\rm n20190614.V.HST.Tran}$,
A_ldc_q1_n20201018.V.CHPS.Tran,0.8799482097821856,(fixed),(fixed),$q_{1;\rm n20201018.V.CHPS.Tran}$,
A_ldc_q2_n20201018.V.CHPS.Tran,0.028177563469459314,(fixed),(fixed),$q_{2;\rm n20201018.V.CHPS.Tran}$,
A_ldc_q1_n20260122.V.CHPS.Tran,0.8799482097821856,(fixed),(fixed),$q_{1;\rm n20260122.V.CHPS.Tran}$,
A_ldc_q2_n20260122.V.CHPS.Tran,0.028177563469459314,(fixed),(fixed),$q_{2;\rm n20260122.V.CHPS.Tran}$,
A_ldc_q1_n20260122.V.HST.Tran,0.8799482097821856,(fixed),(fixed),$q_{1;\rm n20260122.V.HST.Tran}$,
A_ldc_q2_n20260122.V.HST.Tran,0.028177563469459314,(fixed),(fixed),$q_{2;\rm n20260122.V.HST.Tran}$,
A_ldc_q1_n20161002.HARPS-N_RM.RV,0.5173428609928789,0.34051673059994536,0.328212641202243,$q_{1;\rm n20161002.HARPS-N.RM.RV}$,
A_ldc_q2_n20161002.HARPS-N_RM.RV,0.5166155811510682,0.3288291914530889,0.32235952936730006,$q_{2;\rm n20161002.HARPS-N.RM.RV}$,
A_ldc_q1_n20171123.HARPS-N1_RM.RV,0.5173428609928789,(fixed),(fixed),$q_{1;\rm n20171123.HARPS-N1.RM.RV}$,
A_ldc_q2_n20171123.HARPS-N1_RM.RV,0.5166155811510682,(fixed),(fixed),$q_{2;\rm n20171123.HARPS-N1.RM.RV}$,
c_svsinicoslambda,0.8758116009263898,0.3379302629610733,0.2780559345624908,$s_v\cos\lambda$,km^0.5/s^0.5
c_svsinisinlambda,-0.9813920186229594,0.3887541618359842,0.575607267616868,$s_v\sin\lambda$,km^0.5/s^0.5
A_vxi_scale,1.244623260283298,0.5063561373395347,0.5057541853227476,$s_{\xi}$,
A_vzeta_scale,1.214859256112267,0.4882350311510558,0.5262375732234981,$s_{\zeta}$,
A_sed_errscale,1.2200053553171857,0.28320221376083554,0.46069422400029625,$s_{\rm err;SED}$,
A_rstar,0.9296955270114268,0.031182306667815296,0.03234454626097194,$R_A$,Rsun
A_rstarsed,0.8612040920498153,0.013568843998027047,0.01266565390343477,$R_{A;\rm SED}$,Rsun
A_logmstar,-0.06489201236789267,0.01277553676680078,0.016174320363688446,$\log M_A$,dex
A_teff,5298.51355747598,125.93537844051843,149.29904611712573,$T_{\rm eff;A}$,K
A_teffsed,5478.61093985894,145.89789342813492,189.08752971515332,$T_{\rm eff;SED;A}$,K
A_feh,0.022962224857687206,0.06832936310633547,0.07496106818908985,$[\rm Fe/H].A$,dex
A_initfeh,0.061855386021122956,0.06861178424222608,0.07311503747479248,$[\rm Fe/H].{\rm init;A}$,dex
A_eep,389.7786496247741,23.150774650039978,11.765895137909922,${\rm EEP}_A$,
A_av,0.20679954091666802,0.12895261039292633,0.1518462533549944,$A_v$,mag
A_parallax,21.170139482168835,0.020774383111941574,0.020901215119337735,$\varpi$,mas
