System,Teff,Teff_errup,Teff_errdn,Pflag,SOCatflag,lambdadeg,lambdadeg_errup,lambdadeg_errdn,psi,psi_errup,psi_errdn,Ref,Author_string,Ephemeris_reference,Ephemeris_Url,Method,Model,pl_letter,TIC,Gaia DR3,sep,sep_err,sep_ref,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag
HD_110067c,5266,64,64,y,y,6,24,26,-999,-999,-999,Zak et al. (2024),Zak_et_al._(2024),2024A+A...687L...2Z,https://ui.adsabs.harvard.edu/abs/2024A%26A...687L...2Z,RM,Boue2013,c,TIC 347332255,Gaia DR3 3948424496764080640,,,,0,N
HD_118203,5788,51,51,n,y,-12,8,10,0,33.5,0,Zhang et al. (2024),Zhang_et_al._(2024),arXiv:2407.21377,https://ui.adsabs.harvard.edu/abs/arXiv:2407.21377,RM,ellc,b,TIC 286923464,Gaia DR3 1560420854826284928,,,,0,
HD_118203,5788,51,51,y,n,-23,25,38,75,3,5,Knudstrup et al. (2024),Knudstrup_et_al._(2024),2024A+A...690A.379K,https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,RM,#N/A,b,TIC 286923464,Gaia DR3 1560420854826284928,,,,0,
HD_148193,6369,35,69,n,n,29,12,13,-999,-999,-999,Knudstrup et al. (2024),Knudstrup_et_al._(2024),2024A+A...690A.379K,https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,RM,Hirano+2011,b,TIC 207468071,Gaia DR3 1428639816392087552,,,,0,
HD_148193,6369,35,69,y,y,14,7,8,-999,-999,-999,Knudstrup et al. (2024),Knudstrup_et_al._(2024),2024A+A...690A.379K,https://ui.adsabs.harvard.edu/abs/2024A%26A...690A.379K,DT,#N/A,b,TIC 207468071,Gaia DR3 1428639816392087552,,,,0,
HD_149026,6147,50,50,n,n,-12,15,15,-999,-999,-999,Wolf et al. (2007),Wolf_et_al._(2007),2007ApJ...667..549W,https://ui.adsabs.harvard.edu/abs/2007ApJ...667..549W,RM,Ohta+2005,b,TIC 255930614,Gaia DR3 1331356474971716992,,,,0,
HD_149026,6147,50,50,n,n,12,7,7,-999,-999,-999,Albrecht et al. (2012),Albrecht_et_al._(2012),2012ApJ...757...18A,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,RM,Hirano+2011,b,TIC 255930614,Gaia DR3 1331356474971716992,,,,0,
HD_149026,6147,50,50,y,y,2.5,5.4,5.3,-999,-999,-999,Biassoni et al. (2024),Biassoni_et_al._(2024),arXiv:2410.10820,https://ui.adsabs.harvard.edu/abs/arXiv:2410.10820,RM,CaRM,b,TIC 255930614,Gaia DR3 1331356474971716992,,,,0,
HD_189733,5050,32,48,n,n,-1.4,1.1,1.1,-999,-999,-999,Winn et al. (2006),Winn_et_al._(2006),2006ApJ...653L..69W,https://ui.adsabs.harvard.edu/abs/2006ApJ...653L..69W,RM,Winn et al. (2005): Simulated RM spectra,b,TIC 256364928,Gaia DR3 1827242816201846144,226,3,Rice2024,0,SFN
HD_189733,5050,32,48,n,n,0.85,0.28,0.32,-999,-999,-999,Triaud et al. (2009),Triaud_et_al._(2009),2009A+A...506..377T,https://ui.adsabs.harvard.edu/abs/2009A%26A...506..377T,RM,Simulated RM spectra,b,TIC 256364928,Gaia DR3 1827242816201846144,226,3,Rice2024,0,SFN
HD_189733,5050,32,48,n,n,-0.5,0.3,0.3,-999,-999,-999,Collier Cameron et al. (2010),Collier_Cameron_et_al._(2010),2010MNRAS.403..151C,https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..151C,DT,,b,TIC 256364928,Gaia DR3 1827242816201846144,226,3,Rice2024,0,SFN
HD_189733,5050,32,48,n,n,-0.4,0.2,0.2,7,12,4,Cegla et al. (2016),Cegla_et_al._(2016),2016A+A...588A.127C,https://ui.adsabs.harvard.edu/abs/2016A%26A...588A.127C,RRM,,b,TIC 256364928,Gaia DR3 1827242816201846144,226,3,Rice2024,0,SFN
HD_189733,5050,32,48,n,n,-999,-999,-999,4,18,4,Dumusque (2014),Dumusque_(2014),2014ApJ...796..133D,https://ui.adsabs.harvard.edu/abs/2014ApJ...796..133D,st_inc,,b,TIC 256364928,Gaia DR3 1827242816201846144,226,3,Rice2024,0,SFN
HD_189733,5050,32,48,n,n,-0.31,0.18,0.17,-999,-999,-999,Casasayas-Barris et al. (2017),Casasayas-Barris_et_al._(2017),2017A+A...608A.135C,https://ui.adsabs.harvard.edu/abs/2017A%26A...608A.135C,RM,Ohta+2005,b,TIC 256364928,Gaia DR3 1827242816201846144,226,3,Rice2024,0,SFN
HD_189733,5050,32,48,y,y,-1,0.22,0.23,13.6,6.9,6.9,Cristo et al. (2023),Cristo_et_al._(2023),2024A+A...682A..28C,https://ui.adsabs.harvard.edu/abs/2024A%26A...682A..28C,RM,CaRM,b,TIC 256364928,Gaia DR3 1827242816201846144,226,3,Rice2024,0,SFN
HD_191939b,5427,50,50,y,y,3.7,5,5,-999,-999,-999,Lubin et al. (2024),Lubin_et_al._(2024),2024AJ....168..196L,https://ui.adsabs.harvard.edu/abs/2024AJ....168..196L,RM,rmfit: Hirano2010,b,TIC 269701147,Gaia DR3 2248126315275354496,,,,0,
