# System          : planet name (NASA Exoplanet Archive convention)
# q               : planet-to-star mass ratio, M_p/M_star
# q_errup/errdn   : q uncertainty (planet-mass and stellar-mass errors propagated)
# af_Rp           : eccentricity-corrected separation a(1-e^2)/R_p, applied to all
#                   systems using the catalog eccentricity (missing e treated as 0)
# af_Rp_errup/errdn : af_Rp uncertainty (R_p, M_star, P errors propagated, scaled by 1-e^2)
# abs_lambda_deg  : sky-projected obliquity |lambda|, normalized to [0, 180] deg
# lambda_errup/errdn : |lambda| uncertainty (swapped when reflected into [0, 180])
# Teff_K          : host-star effective temperature [K]
# Teff_errup/errdn : Teff uncertainty [K]
# ecc             : orbital eccentricity (0 when not reported)
# ecc_errup/errdn : eccentricity uncertainty
# tau_e_Gyr       : eccentricity-damping timescale tau_e [Gyr] (Jackson et al. 2008),
#                   regime-dependent Q_p as in Fig 2: Q_p = 5e5 for q > 3e-4 (stellar
#                   tide added for q > 2e-3), Q_p = 5.4e3 for 5e-5 < q <= 3e-4,
#                   Q_p = 100 for q <= 5e-5
# tau_e_errup/errdn : tau_e uncertainty from a 20000-draw Monte-Carlo propagation of
#                   Mp, M*, Rp, R*, P and the tidal Q_p (log-normal, 0.3 dex ~ factor 2,
#                   matching Kawai+2025); 16th/84th percentiles. Age is not folded in
#                   here (this is absolute tau_e; age is a separate column).
# age_Gyr         : stellar age [Gyr] (catalog value; TRAPPIST-1 from Burgasser &
#                   Mamajek 2017); empty when unavailable
# age_errup/errdn : stellar age uncertainty [Gyr]
# binary          : Y = has stellar companion(s), excluded from the statistical
#                   tests (shown in figures only); N = single star
System,q,q_errup,q_errdn,af_Rp,af_Rp_errup,af_Rp_errdn,abs_lambda_deg,lambda_errup,lambda_errdn,Teff_K,Teff_errup,Teff_errdn,ecc,ecc_errup,ecc_errdn,tau_e_Gyr,tau_e_errup,tau_e_errdn,age_Gyr,age_errup,age_errdn,binary
KELT-24 b,3.344e-03,1.41e-04,1.37e-04,125.0,1.4,1.5,49.0,10.0,14.0,6557,78,74,0.037,0.009,0.008,7.035e+00,7.00e+00,3.47e+00,0.48,0.49,0.31,Y
KELT-3 b,1.092e-03,1.04e-04,8.93e-05,57.5,1.3,1.2,6.5,7.8,8.0,6340,140,140,0.063,0.053,0.035,2.339e-02,2.38e-02,1.17e-02,2.13,0.96,0.79,Y
KELT-4 A b,6.249e-04,5.78e-05,5.66e-05,60.0,1.0,1.1,90.0,21.0,23.0,6353,98,93,0.028,0.032,0.02,1.801e-02,1.84e-02,8.86e-03,2.16,0.9,0.78,Y
KELT-6 b,3.601e-04,1.97e-05,1.98e-05,149.4,2.6,2.4,23.0,11.0,11.0,6290,100,110,0.028,0.017,0.014,2.612e+00,2.60e+00,1.31e+00,3.37,0.62,0.65,N
KELT-7 b,8.339e-04,1.26e-04,1.25e-04,59.8,1.0,0.9,2.5,3.7,4.1,6530,120,150,0.089,0.061,0.057,2.238e-02,2.17e-02,1.16e-02,1.6,0.7,0.53,N
KELT-9 b,1.091e-03,3.30e-04,3.36e-04,39.2,1.8,1.5,84.8,0.3,0.3,9329,118,118,0.0,0.0,0.0,1.840e-03,1.89e-03,1.04e-03,0.3,,,Y
KOI-13 b,5.150e-03,3.12e-04,3.12e-04,48.4,1.5,1.5,59.2,0.0,0.0,7650,250,250,0.001,0.0,0.0,2.985e-02,2.90e-02,1.53e-02,1.12,0.13,0.07,Y
Kepler-1656 b,1.409e-04,1.17e-05,1.06e-05,371.6,7.7,7.9,-0.0,11.0,12.0,5669,80,85,0.79,0.008,0.009,6.273e+03,6.21e+03,3.16e+03,4.1,4,2.8,N
Kepler-25 c,6.547e-05,1.36e-05,1.27e-05,531.9,15.0,14.5,8.2,6.4,6.4,6180,120,120,0.06,0.062,0.043,5.356e+01,5.09e+01,3.56e+01,3.5,2.2,1.8,Y
Kepler-448 b,2.833e-03,3.40e-03,1.99e-03,214.4,3.4,3.5,26.0,14.0,15.0,6480,150,130,0.0,0.0,0.0,2.829e+02,4.87e+02,2.20e+02,2.66,0.72,0.57,N
Kepler-63 b,2.558e-04,1.74e-04,1.44e-04,303.9,5.4,4.5,100.0,19.0,24.0,5385,73,71,0.067,0.065,0.045,9.498e+00,1.45e+02,6.60e+00,7.7,3.6,4.1,N
Kepler-8 b,4.844e-04,1.23e-04,1.15e-04,77.3,1.7,1.8,7.9,6.3,6.3,6320,140,130,0.058,0.056,0.041,5.936e-02,6.07e-02,3.44e-02,2.9,1.3,1.2,N
Kepler-89 d,1.621e-05,1.28e-05,9.43e-06,538.5,12.7,11.4,6.3,6.7,6.6,6000,100,100,0.1,0.2,0.07,1.990e-02,2.67e-02,1.40e-02,5.9,2.2,1.5,Y
Kepler-9 b,1.275e-04,6.77e-06,6.90e-06,408.0,26.9,21.8,13.0,16.0,16.0,5774,60,60,0.061,0.001,0.001,4.195e+01,4.36e+01,2.26e+01,2,2,1.3,N
LP 261-75 A b,2.295e-01,2.57e-02,2.33e-02,47.2,1.6,1.8,13.0,12.0,13.0,3207,48,47,0.003,0.002,0.002,1.239e+00,1.18e+00,6.24e-01,6,5.1,4.2,N
